path;name;city;region;state;zip-code-abbr;phone;status;latitude;longitude;price;square feet;beds;baths;cars
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek;Brittany Heights at Windsor Creek;Caldwell;Boise Metro;Idaho;ID;2089178151;Now Selling;43.615390;-116.64231;From the Low $300’s;1230 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/caldwell/mason-creek;Mason Creek;Caldwell;Boise Metro;Idaho;ID;2086495529;Now Selling;43.655757; -116.6131;From the Mid 300s;1244 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/kuna/sera-sole;Sera Sole;Kuna;Boise Metro;Idaho;ID;2089178155;Future Community;43.483753;-116.41379;Future Community;1446 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/meridian/canyons-at-prescott-ridge;Canyons at Prescott Ridge;Meridian;Boise Metro;Idaho;ID;9862330550;Now Selling;43.65784;-116.47272;From the Low $400s;1528 - 2346;2 - 4;2 - 2.5;2
/new-homes/idaho/boise-metro/meridian/prairiefire;Prairiefire;Meridian;Boise Metro;Idaho;ID;2087288500;Coming Soon;43.637106;-116.37694;Coming Soon;-;0;0;0
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge;Ridgelines at Prescott Ridge;Meridian;Boise Metro;Idaho;ID;9862033654;Now Selling;43.65639;-116.46738;From the Mid $400s;2044 - 2828;3 - 5;2 - 4;2 - 3
/new-homes/idaho/boise-metro/meridian/woodcrest-townhomes;Woodcrest Townhomes;Meridian;Boise Metro;Idaho;ID;2089178140;Now Selling;43.6229096;-116.36375;From the Low $400s;1568 - 2001;2 - 4;2.5;1 - 2
/new-homes/idaho/boise-metro/middleton/waterford;Waterford;Middleton;Boise Metro;Idaho;ID;2089606292;Now Selling;43.714664;-116.59015;From the High 300s;1446 - 3654;3 - 7;2 - 4;3 - 4
/new-homes/idaho/boise-metro/mountain-home/silverstone-north;Silverstone North;Mountain Home;Boise Metro;Idaho;ID;2086495683;Coming Soon;43.112117;-115.69294;Coming Soon;1230 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/nampa/adams-ridge;Adams Ridge;Nampa;Boise Metro;Idaho;ID;2089086081;Now Selling;43.6322961;-116.60228;From the Mid 300s;1230 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/nampa/franklin-village-north;Franklin Village North;Nampa;Boise Metro;Idaho;ID;2089178160;Coming Soon;43.6153948;-116.54671;From the Mid 300s;1446 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/nampa/southern-ridge;Southern Ridge;Nampa;Boise Metro;Idaho;ID;2089178155;Sold Out;43.5326030;-116.52139;Sold Out;1620 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/nampa/sunnyvale;Sunnyvale;Nampa;Boise Metro;Idaho;ID;2089178147;Selling Fast;43.6009912;-116.62196;From the Mid 300s;1244 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/star/greendale-grove;Greendale Grove;Star;Boise Metro;Idaho;ID;2084737128;Selling Fast;43.7199121;-116.48586;From the High 300s;1446 - 3654;3 - 7;2 - 4;2 - 4
/new-homes/idaho/boise-metro/star/sellwood;Sellwood;Star;Boise Metro;Idaho;ID;2087953480;Now Selling;43.713599;-116.488;From the High 400s;2100 - 2664;3 - 4;2 - 3;2 - 3
