path;model name;price;square feet;beds;baths;cars;den/study;primary bed;full bath main;full bed on first;home style;image;planNumber;type
/home-plans/plan-detail/agate;Agate;$468,990;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;;Up;;;2 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/agate.jpg;54;Single Family
/home-plans/plan-detail/alder;Alder;$490,990;2,100;3;2;2;;Down;Yes;Yes;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/alder.jpg;76;Single Family
/home-plans/plan-detail/alturas;Alturas;$345,990;1,446;3;2;2 - 3;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/alturas.jpeg;1;Single Family
/home-plans/plan-detail/amethyst;Amethyst;$386,990;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/amethyst.jpg;43;Single Family
/home-plans/plan-detail/ashton;Ashton;$346,990;1,466;3;2;2;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/ashton.jpeg;2;Single Family
/home-plans/plan-detail/belmont;Belmont;$462,990;2,044;3 - 4;3;2;;Down;Yes;Yes;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/belmont.jpg;80;Single Family
/home-plans/plan-detail/birch;Birch;$355,990;1,620;3;2;2 - 3;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/birch.jpeg;4;Single Family
/home-plans/plan-detail/bradshaw;Bradshaw;$402,990;1,528;2 - 3;2;2;;Down;Yes;Yes;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/bradshaw.jpg;77;Single Family
/home-plans/plan-detail/brookfield;Brookfield;$371,990;1,888;3 - 4;2;2 - 3;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/brookfield.jpeg;5;Single Family
/home-plans/plan-detail/brookfield-bonus;Brookfield Bonus;$391,990;2,279;3 - 5;2 - 3;2 - 3;;Down;;;1.5 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/brookfield-bonus.jpeg;6;Single Family
/home-plans/plan-detail/charlotte;Charlotte;$410,990;1,618;3 - 4;2;2;;Down;Yes;Yes;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/charlotte.jpg;78;Single Family
/home-plans/plan-detail/crestwood;Crestwood;$376,990;2,009;3 - 4;2;2 - 3;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/crestwood.jpeg;8;Single Family
/home-plans/plan-detail/emerald;Emerald;$410,990;2,433 - 2,633;3 - 4;3;2 - 4;;Down;;;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/emerald.jpg;50;Single Family
/home-plans/plan-detail/garnet;Garnet;$416,990;2,695;4 - 6;2.5 - 4;2 - 3;;Up;;;2 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/garnet.jpeg;10;Single Family
/home-plans/plan-detail/glendale;Glendale;$499,990;2,400;3 - 4;2.5;2;;Up;;;2 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/glendale.jpg;83;Single Family
/home-plans/plan-detail/hemlock;Hemlock;$509,990;2,312;3;2.5;3;Yes;Down;Yes;Yes;1 Story;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/hemlock.jpg;85;Single Family
/home-plans/plan-detail/iris;Iris;$414,990;1,568;2;2.5;1;;Up;No;No;Townhome;https://main--hubblehomes-com--aemsites.hlx.live/images/models/card/iris.jpg;88;Townhome
