path;community;model name;price;square feet;beds;baths;cars;home style;primary bed;full bath main;full bed on first;den/study
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/agate;Brittany Heights at Windsor Creek;Agate;$ 468,990;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/alturas;Brittany Heights at Windsor Creek;Alturas;$ 345,990;1,446;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/amethyst;Brittany Heights at Windsor Creek;Amethyst;$ 386,990;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/ashton;Brittany Heights at Windsor Creek;Ashton;$ 346,990;1,466;3;2;2;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/birch;Brittany Heights at Windsor Creek;Birch;$ 355,990;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/brookfield;Brittany Heights at Windsor Creek;Brookfield;$ 371,990;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/brookfield-bonus;Brittany Heights at Windsor Creek;Brookfield Bonus;$ 391,990;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/crestwood;Brittany Heights at Windsor Creek;Crestwood;$ 376,990;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/emerald;Brittany Heights at Windsor Creek;Emerald;$ 410,990;2,433 - 2,633;3 - 4;3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/garnet;Brittany Heights at Windsor Creek;Garnet;$ 416,990;2,695;4 - 6;2.5 - 4;2 - 3;2 Story;Up;;;
